license,CC BY-NC 4.0 (all data),,,,,
reference,https://doi.org/10.1016/j.joule.2020.08.002 (all data),,,,,
comment,Averaged capacity factors for sub-regions in Lombardi’s study.,,,,,
nodes,NORD,CNOR,CSUD,SUD,SICI,SARD
techs,wind,wind,wind,wind,wind,wind
parameters,source_use_max,source_use_max,source_use_max,source_use_max,source_use_max,source_use_max
timesteps,,,,,,
2015-01-07 04:00:00,0.0745625,0.108333333333333,0.0972666666666667,0.1436,0.008,0.1174
2015-01-07 05:00:00,0.08079375,0.112033333333333,0.0968,0.145675,0.0084,0.1099
2015-01-07 06:00:00,0.07139375,0.1252,0.101,0.146075,0.0091,0.1063
2015-01-07 07:00:00,0.0659,0.127833333333333,0.100633333333333,0.1258,0.0089,0.099
2015-01-07 08:00:00,0.0608,0.115566666666667,0.0849333333333333,0.0777,0.0082,0.0887
2015-01-07 09:00:00,0.04419375,0.1062,0.0957666666666667,0.074025,0.018,0.11
2015-01-07 10:00:00,0.03723125,0.1217,0.123633333333333,0.088225,0.0334,0.1184
2015-01-07 11:00:00,0.0442875,0.116866666666667,0.130566666666667,0.0962,0.0511,0.1195
2015-01-07 12:00:00,0.0398,0.0776333333333333,0.118633333333333,0.096625,0.0682,0.1158
2015-01-07 13:00:00,0.030225,0.0419333333333333,0.0996666666666667,0.096075,0.0802,0.1062
2015-01-07 14:00:00,0.0270625,0.0249,0.0752,0.08545,0.0803,0.0902
2015-01-07 15:00:00,0.02635,0.0232666666666667,0.0712333333333333,0.083575,0.0777,0.076
2015-01-07 16:00:00,0.02461875,0.0269333333333333,0.0841,0.099775,0.0746,0.0715
2015-01-07 17:00:00,0.02135,0.0315666666666667,0.0979,0.11965,0.0699,0.0673
2015-01-07 18:00:00,0.01848125,0.0339,0.102166666666667,0.13685,0.0698,0.0736
2015-01-07 19:00:00,0.0188125,0.0371333333333333,0.106166666666667,0.14615,0.0724,0.0868
2015-01-07 20:00:00,0.01886875,0.0451,0.104666666666667,0.148275,0.0747,0.1003
2015-01-07 21:00:00,0.0175125,0.0536333333333333,0.1049,0.153525,0.0721,0.1115
2015-01-07 22:00:00,0.01733125,0.0663666666666667,0.105133333333333,0.1584,0.0654,0.1239
2015-01-07 23:00:00,0.0202625,0.0771333333333333,0.104466666666667,0.161925,0.0563,0.1334
2015-01-08 00:00:00,0.0221375,0.0856666666666667,0.1041,0.15595,0.0459,0.1284
2015-01-08 01:00:00,0.0254625,0.0912,0.101433333333333,0.1498,0.0372,0.1256
2015-01-08 02:00:00,0.02770625,0.0975,0.0985666666666667,0.14535,0.0314,0.1255
2015-01-08 03:00:00,0.02555,0.1017,0.0904666666666667,0.13375,0.0293,0.1265
2015-01-08 04:00:00,0.0241875,0.104066666666667,0.0864666666666667,0.12615,0.0297,0.1251
2015-01-08 05:00:00,0.02410625,0.1079,0.0875,0.1251,0.0319,0.1167
2015-01-08 06:00:00,0.0252125,0.111866666666667,0.0922666666666667,0.1283,0.0357,0.1237
2015-01-08 07:00:00,0.0271375,0.108666666666667,0.0879,0.115025,0.0357,0.1261
2015-01-08 08:00:00,0.0263,0.103366666666667,0.0856333333333333,0.106975,0.0392,0.1388
2015-01-08 09:00:00,0.0238875,0.120233333333333,0.1018,0.110775,0.0577,0.1728
2015-01-08 10:00:00,0.02491875,0.161333333333333,0.117033333333333,0.102575,0.0766,0.2057
2015-01-08 11:00:00,0.044525,0.181233333333333,0.133733333333333,0.098175,0.0916,0.2484
2015-01-08 12:00:00,0.0464625,0.1759,0.133033333333333,0.098825,0.0985,0.3137
2015-01-08 13:00:00,0.03971875,0.1367,0.112733333333333,0.094075,0.0957,0.3416
2015-01-08 14:00:00,0.03610625,0.0979666666666667,0.0749,0.07635,0.0848,0.2714
2015-01-08 15:00:00,0.0371625,0.0978333333333333,0.0789,0.09045,0.0864,0.2015
2015-01-08 16:00:00,0.0457375,0.1055,0.0926,0.125075,0.086,0.2012
2015-01-08 17:00:00,0.05366875,0.1071,0.0987333333333333,0.1565,0.0821,0.1982
2015-01-08 18:00:00,0.0577375,0.1038,0.0991333333333333,0.17275,0.0865,0.2
2015-01-08 19:00:00,0.0606625,0.0958666666666667,0.0974333333333333,0.176925,0.0977,0.2096
2015-01-08 20:00:00,0.05961875,0.0858333333333333,0.0938,0.17395,0.107,0.2152
2015-01-08 21:00:00,0.061625,0.0767,0.0892333333333333,0.17035,0.1066,0.2125
2015-01-08 22:00:00,0.07193125,0.0709,0.0825,0.1627,0.1015,0.2061
2015-01-08 23:00:00,0.07906875,0.0680333333333333,0.0805,0.16045,0.0956,0.2007
2015-01-09 00:00:00,0.06895,0.0671,0.0777333333333333,0.155725,0.0863,0.1948
2015-01-09 01:00:00,0.06391875,0.0673,0.0714333333333333,0.14385,0.0818,0.1846
2015-01-09 02:00:00,0.0668875,0.0654333333333333,0.0637666666666667,0.1323,0.0816,0.1804
2015-01-09 03:00:00,0.07168125,0.0648333333333333,0.0535666666666667,0.1166,0.0844,0.1822
2015-01-09 04:00:00,0.06715,0.0600666666666667,0.0410333333333333,0.0979,0.0884,0.1775
2015-01-09 05:00:00,0.0617625,0.055,0.0350666666666667,0.0833,0.0919,0.2071
2015-01-09 06:00:00,0.05860625,0.0535,0.0287333333333333,0.070975,0.0897,0.2306
2015-01-09 07:00:00,0.05706875,0.0486666666666667,0.0179,0.049475,0.0783,0.2272
2015-01-09 08:00:00,0.04586875,0.0367333333333333,0.0099,0.029625,0.0806,0.1891
2015-01-09 09:00:00,0.0395125,0.0256,0.00643333333333333,0.020925,0.0962,0.1691
2015-01-09 10:00:00,0.0329625,0.0160333333333333,0.0045,0.018,0.1,0.1739
2015-01-09 11:00:00,0.03233125,0.0101333333333333,0.00503333333333333,0.0199,0.1,0.1839
2015-01-09 12:00:00,0.03166875,0.00643333333333333,0.00933333333333333,0.026475,0.0967,0.171
2015-01-09 13:00:00,0.03228125,0.00573333333333333,0.0169666666666667,0.03785,0.0915,0.1381
2015-01-09 14:00:00,0.0328625,0.00746666666666667,0.0249,0.049525,0.0857,0.0937
2015-01-09 15:00:00,0.03184375,0.0117,0.0317333333333333,0.059375,0.0912,0.0636
2015-01-09 16:00:00,0.02851875,0.0153333333333333,0.0308,0.05725,0.1067,0.0513
2015-01-09 17:00:00,0.0205875,0.0166333333333333,0.0256,0.04655,0.1137,0.0415
2015-01-09 18:00:00,0.0171125,0.0176666666666667,0.0212333333333333,0.03955,0.1162,0.0337
2015-01-09 19:00:00,0.01459375,0.0207333333333333,0.0186666666666667,0.037175,0.1153,0.029
2015-01-09 20:00:00,0.01331875,0.0262666666666667,0.0179333333333333,0.037575,0.111,0.0249
2015-01-09 21:00:00,0.01274375,0.0279,0.0188666666666667,0.042725,0.1058,0.0216
2015-01-09 22:00:00,0.0129875,0.0264333333333333,0.0201666666666667,0.051375,0.1016,0.021
2015-01-09 23:00:00,0.01394375,0.0252333333333333,0.0210666666666667,0.05965,0.0991,0.0215
2015-01-10 00:00:00,0.0150875,0.0253,0.0213333333333333,0.06285,0.0993,0.0217
2015-01-10 01:00:00,0.0166125,0.0264,0.0205333333333333,0.064575,0.0997,0.0216
2015-01-10 02:00:00,0.018925,0.0273,0.0193666666666667,0.065675,0.1032,0.0221
2015-01-10 03:00:00,0.019075,0.0295333333333333,0.0178,0.067375,0.108,0.0233
2015-01-10 04:00:00,0.01959375,0.0326333333333333,0.0168,0.0674,0.1125,0.027
2015-01-10 05:00:00,0.02164375,0.0362666666666667,0.0167,0.066675,0.112,0.0352
2015-01-10 06:00:00,0.0247875,0.0389666666666667,0.0167,0.065275,0.1049,0.0477
2015-01-10 07:00:00,0.0258,0.0373,0.0156,0.056075,0.087,0.0553
2015-01-10 08:00:00,0.024625,0.0248666666666667,0.00746666666666667,0.040425,0.078,0.0415
2015-01-10 09:00:00,0.02283125,0.0167666666666667,0.003,0.0304,0.0729,0.0365
2015-01-10 10:00:00,0.0249375,0.0183666666666667,0.00436666666666667,0.023375,0.053,0.0329
2015-01-10 11:00:00,0.03219375,0.0198,0.00656666666666667,0.0185,0.0371,0.028
2015-01-10 12:00:00,0.0374375,0.0209666666666667,0.00803333333333333,0.015975,0.0262,0.0263
2015-01-10 13:00:00,0.03950625,0.0214666666666667,0.00866666666666667,0.014675,0.0209,0.0286
2015-01-10 14:00:00,0.0384375,0.0219666666666667,0.0115,0.01515,0.0208,0.033
2015-01-10 15:00:00,0.03858125,0.0289333333333333,0.0176666666666667,0.01835,0.0259,0.0359
2015-01-10 16:00:00,0.04278125,0.0411,0.0193,0.018125,0.0269,0.0277
2015-01-10 17:00:00,0.04960625,0.0549666666666667,0.0207333333333333,0.020825,0.021,0.0159
2015-01-10 18:00:00,0.06075625,0.0714666666666667,0.0293333333333333,0.03615,0.0131,0.0146
2015-01-10 19:00:00,0.0735625,0.0906666666666667,0.0478333333333333,0.06205,0.0068,0.0192
2015-01-10 20:00:00,0.08885625,0.1148,0.0703333333333333,0.090425,0.0032,0.0266
2015-01-10 21:00:00,0.10133125,0.132433333333333,0.0931666666666667,0.123475,0.0017,0.0301
2015-01-10 22:00:00,0.112525,0.131933333333333,0.112566666666667,0.16215,0.0029,0.0291
2015-01-10 23:00:00,0.12520625,0.131666666666667,0.119033333333333,0.19305,0.0071,0.0279
2015-01-11 00:00:00,0.15215,0.1339,0.111866666666667,0.208075,0.0136,0.0274
2015-01-11 01:00:00,0.17328125,0.1391,0.1048,0.214925,0.0205,0.0274
2015-01-11 02:00:00,0.17474375,0.1355,0.0981,0.218625,0.0287,0.028
2015-01-11 03:00:00,0.16755625,0.125166666666667,0.0825666666666667,0.203525,0.0362,0.0329
2015-01-11 04:00:00,0.15996875,0.119133333333333,0.0669,0.179125,0.043,0.0415
2015-01-11 05:00:00,0.14016875,0.120533333333333,0.0557666666666667,0.158525,0.0489,0.0492
2015-01-11 06:00:00,0.11655,0.129366666666667,0.0513333333333333,0.1375,0.0539,0.0542
2015-01-11 07:00:00,0.10166875,0.118833333333333,0.0440333333333333,0.102125,0.047,0.0572
2015-01-11 08:00:00,0.086975,0.104433333333333,0.0324666666666667,0.066125,0.0386,0.053
2015-01-11 09:00:00,0.0589625,0.112233333333333,0.0253333333333333,0.047625,0.0554,0.0725
2015-01-11 10:00:00,0.05098125,0.117066666666667,0.0285666666666667,0.04315,0.0681,0.1073
2015-01-11 11:00:00,0.07124375,0.111033333333333,0.0358333333333333,0.044825,0.0772,0.1514
2015-01-11 12:00:00,0.1005,0.0995666666666667,0.0413,0.0503,0.0831,0.1863
2015-01-11 13:00:00,0.10566875,0.0821333333333333,0.0424333333333333,0.0582,0.0913,0.1978
2015-01-11 14:00:00,0.10219375,0.0644666666666667,0.0403333333333333,0.06405,0.0976,0.1927
2015-01-11 15:00:00,0.1074625,0.0775,0.0572666666666667,0.068925,0.0998,0.1778
2015-01-11 16:00:00,0.12271875,0.1017,0.0819666666666667,0.0788,0.0977,0.1968
2015-01-11 17:00:00,0.14478125,0.134566666666667,0.1066,0.100175,0.0916,0.2156
2015-01-11 18:00:00,0.1689625,0.1676,0.136633333333333,0.128,0.0883,0.2367
2015-01-11 19:00:00,0.19928125,0.189166666666667,0.175033333333333,0.1641,0.09,0.2911
2015-01-11 20:00:00,0.2352125,0.199333333333333,0.210933333333333,0.198325,0.0945,0.368
2015-01-11 21:00:00,0.264425,0.2084,0.2472,0.245,0.1053,0.4203
2015-01-11 22:00:00,0.28851875,0.243633333333333,0.2644,0.2938,0.1289,0.4707
2015-01-11 23:00:00,0.33941875,0.252233333333333,0.294266666666667,0.3315,0.1597,0.514
2015-01-12 00:00:00,0.35415,0.2619,0.314833333333333,0.346875,0.178,0.5633
2015-01-12 01:00:00,0.3537625,0.2677,0.340466666666667,0.357275,0.177,0.616
2015-01-12 02:00:00,0.37371875,0.222333333333333,0.352666666666667,0.378625,0.1736,0.662
2015-01-12 03:00:00,0.3709875,0.189333333333333,0.301166666666667,0.364525,0.1983,0.7084
2015-01-12 04:00:00,0.3799125,0.169633333333333,0.2277,0.322375,0.2553,0.7281
2015-01-12 05:00:00,0.40121875,0.162933333333333,0.163733333333333,0.29295,0.3034,0.747
2015-01-12 06:00:00,0.428625,0.141333333333333,0.1163,0.26315,0.3443,0.751
2015-01-12 07:00:00,0.42685625,0.0988,0.0834333333333333,0.2301,0.3837,0.712
2015-01-12 08:00:00,0.39651875,0.0583,0.0647,0.2093,0.4762,0.6759
2015-01-12 09:00:00,0.36304375,0.0545666666666667,0.0715,0.18965,0.5316,0.6374
2015-01-12 10:00:00,0.33700625,0.0721,0.156433333333333,0.22035,0.5372,0.5696
2015-01-12 11:00:00,0.32569375,0.0679,0.214466666666667,0.304325,0.556,0.4818
2015-01-12 12:00:00,0.30106875,0.0526333333333333,0.229033333333333,0.353875,0.562,0.4003
2015-01-12 13:00:00,0.2617125,0.0395666666666667,0.213833333333333,0.35275,0.5278,0.3439
